,country,year,sex,age,cases
12569,BW,2002,m,55-64,136
32161,BW,2002,f,65+,26
15018,BW,2002,m,65+,84
17468,BW,2003,f,0-14,32
325,BW,2003,m,0-14,22
19917,BW,2003,f,15-24,338
2774,BW,2003,m,15-24,203
22366,BW,2003,f,25-34,524
5223,BW,2003,m,25-34,552
24815,BW,2003,f,35-44,276
7672,BW,2003,m,35-44,446
27264,BW,2003,f,45-54,104
10121,BW,2003,m,45-54,244
29713,BW,2003,f,55-64,52
12570,BW,2003,m,55-64,136
32162,BW,2003,f,65+,43
15019,BW,2003,m,65+,78
17469,BW,2004,f,0-14,49
326,BW,2004,m,0-14,29
19918,BW,2004,f,15-24,358
2775,BW,2004,m,15-24,245
22367,BW,2004,f,25-34,544
5224,BW,2004,m,25-34,490
24816,BW,2004,f,35-44,290
7673,BW,2004,m,35-44,436
27265,BW,2004,f,45-54,110
10122,BW,2004,m,45-54,271
29714,BW,2004,f,55-64,52
12571,BW,2004,m,55-64,122
32163,BW,2004,f,65+,36
15020,BW,2004,m,65+,96
17470,BW,2005,f,0-14,45
327,BW,2005,m,0-14,27
19919,BW,2005,f,15-24,321
2776,BW,2005,m,15-24,260
22368,BW,2005,f,25-34,491
5225,BW,2005,m,25-34,563
24817,BW,2005,f,35-44,253
7674,BW,2005,m,35-44,506
27266,BW,2005,f,45-54,97
10123,BW,2005,m,45-54,272
29715,BW,2005,f,55-64,55
12572,BW,2005,m,55-64,135
32164,BW,2005,f,65+,48
15021,BW,2005,m,65+,97
17471,BW,2006,f,0-14,54
328,BW,2006,m,0-14,36
19920,BW,2006,f,15-24,326
2777,BW,2006,m,15-24,262
22369,BW,2006,f,25-34,507
5226,BW,2006,m,25-34,577
24818,BW,2006,f,35-44,259
7675,BW,2006,m,35-44,490
27267,BW,2006,f,45-54,133
10124,BW,2006,m,45-54,289
29716,BW,2006,f,55-64,55
12573,BW,2006,m,55-64,122
32165,BW,2006,f,65+,38
15022,BW,2006,m,65+,104
17472,BW,2007,f,0-14,46
329,BW,2007,m,0-14,25
19921,BW,2007,f,15-24,347
2778,BW,2007,m,15-24,251
22370,BW,2007,f,25-34,430
5227,BW,2007,m,25-34,535
24819,BW,2007,f,35-44,254
7676,BW,2007,m,35-44,442
27268,BW,2007,f,45-54,123
10125,BW,2007,m,45-54,263
29717,BW,2007,f,55-64,47
12574,BW,2007,m,55-64,120
32166,BW,2007,f,65+,37
15023,BW,2007,m,65+,82
17473,BW,2008,f,0-14,42
330,BW,2008,m,0-14,27
19922,BW,2008,f,15-24,347
2779,BW,2008,m,15-24,254
22371,BW,2008,f,25-34,474
5228,BW,2008,m,25-34,528
24820,BW,2008,f,35-44,226
7677,BW,2008,m,35-44,384
27269,BW,2008,f,45-54,135
10126,BW,2008,m,45-54,220
29718,BW,2008,f,55-64,51
12575,BW,2008,m,55-64,113
32167,BW,2008,f,65+,30
15024,BW,2008,m,65+,85
17474,BY,2001,f,0-14,4
331,BY,2001,m,0-14,2
19923,BY,2001,f,15-24,0
2780,BY,2001,m,15-24,0
22372,BY,2001,f,25-34,0
5229,BY,2001,m,25-34,0
24821,BY,2001,f,35-44,0
7678,BY,2001,m,35-44,0
27270,BY,2001,f,45-54,0
10127,BY,2001,m,45-54,0
29719,BY,2001,f,55-64,0
12576,BY,2001,m,55-64,0
32168,BY,2001,f,65+,0
15025,BY,2001,m,65+,0
17475,BY,2002,f,0-14,0
332,BY,2002,m,0-14,0
19924,BY,2002,f,15-24,12
2781,BY,2002,m,15-24,66
22373,BY,2002,f,25-34,22
5230,BY,2002,m,25-34,133
24822,BY,2002,f,35-44,28
7679,BY,2002,m,35-44,217
27271,BY,2002,f,45-54,17
10128,BY,2002,m,45-54,159
29720,BY,2002,f,55-64,17
12577,BY,2002,m,55-64,75
32169,BY,2002,f,65+,41
15026,BY,2002,m,65+,51
17476,BY,2003,f,0-14,0
333,BY,2003,m,0-14,0
19925,BY,2003,f,15-24,18
2782,BY,2003,m,15-24,67
22374,BY,2003,f,25-34,39
5231,BY,2003,m,25-34,134
24823,BY,2003,f,35-44,43
7680,BY,2003,m,35-44,243
27272,BY,2003,f,45-54,26
10129,BY,2003,m,45-54,226
29721,BY,2003,f,55-64,21
12578,BY,2003,m,55-64,96
32170,BY,2003,f,65+,45
15027,BY,2003,m,65+,60
17477,BY,2004,f,0-14,1
334,BY,2004,m,0-14,0
19926,BY,2004,f,15-24,31
2783,BY,2004,m,15-24,84
22375,BY,2004,f,25-34,38
5232,BY,2004,m,25-34,170
24824,BY,2004,f,35-44,38
7681,BY,2004,m,35-44,260
27273,BY,2004,f,45-54,35
10130,BY,2004,m,45-54,235
29722,BY,2004,f,55-64,11
12579,BY,2004,m,55-64,83
32171,BY,2004,f,65+,67
15028,BY,2004,m,65+,56
17478,BY,2005,f,0-14,0
335,BY,2005,m,0-14,0
19927,BY,2005,f,15-24,25
2784,BY,2005,m,15-24,71
22376,BY,2005,f,25-34,53
5233,BY,2005,m,25-34,180
24825,BY,2005,f,35-44,50
7682,BY,2005,m,35-44,273
27274,BY,2005,f,45-54,43
10131,BY,2005,m,45-54,287
29723,BY,2005,f,55-64,11
12580,BY,2005,m,55-64,118
32172,BY,2005,f,65+,62
15029,BY,2005,m,65+,62
17479,BY,2006,f,0-14,1
336,BY,2006,m,0-14,0
19928,BY,2006,f,15-24,32
2785,BY,2006,m,15-24,61
22377,BY,2006,f,25-34,38
5234,BY,2006,m,25-34,134
24826,BY,2006,f,35-44,43
7683,BY,2006,m,35-44,217
27275,BY,2006,f,45-54,43
10132,BY,2006,m,45-54,260
29724,BY,2006,f,55-64,18
12581,BY,2006,m,55-64,96
32173,BY,2006,f,65+,58
15030,BY,2006,m,65+,71
17480,BY,2007,f,0-14,0
337,BY,2007,m,0-14,0
19929,BY,2007,f,15-24,28
2786,BY,2007,m,15-24,57
22378,BY,2007,f,25-34,58
5235,BY,2007,m,25-34,142
24827,BY,2007,f,35-44,41
7684,BY,2007,m,35-44,205
27276,BY,2007,f,45-54,35
10133,BY,2007,m,45-54,244
29725,BY,2007,f,55-64,17
12582,BY,2007,m,55-64,110
32174,BY,2007,f,65+,58
15031,BY,2007,m,65+,56
17481,BY,2008,f,0-14,0
338,BY,2008,m,0-14,0
19930,BY,2008,f,15-24,26
2787,BY,2008,m,15-24,44
22379,BY,2008,f,25-34,43
5236,BY,2008,m,25-34,149
24828,BY,2008,f,35-44,36
7685,BY,2008,m,35-44,207
27277,BY,2008,f,45-54,34
10134,BY,2008,m,45-54,261
29726,BY,2008,f,55-64,20
12583,BY,2008,m,55-64,106
32175,BY,2008,f,65+,65
15032,BY,2008,m,65+,69
17482,BZ,1995,f,0-14,0
339,BZ,1995,m,0-14,1
19931,BZ,1995,f,15-24,6
2788,BZ,1995,m,15-24,1
22380,BZ,1995,f,25-34,2
5237,BZ,1995,m,25-34,2
24829,BZ,1995,f,35-44,0
7686,BZ,1995,m,35-44,4
27278,BZ,1995,f,45-54,1
10135,BZ,1995,m,45-54,0
29727,BZ,1995,f,55-64,1
12584,BZ,1995,m,55-64,1
32176,BZ,1995,f,65+,2
15033,BZ,1995,m,65+,1
17483,BZ,1996,f,0-14,0
340,BZ,1996,m,0-14,1
19932,BZ,1996,f,15-24,1
2789,BZ,1996,m,15-24,3
22381,BZ,1996,f,25-34,4
5238,BZ,1996,m,25-34,2
24830,BZ,1996,f,35-44,0
7687,BZ,1996,m,35-44,2
27279,BZ,1996,f,45-54,0
10136,BZ,1996,m,45-54,2
29728,BZ,1996,f,55-64,0
12585,BZ,1996,m,55-64,3
32177,BZ,1996,f,65+,0
15034,BZ,1996,m,65+,2
17484,BZ,1997,f,0-14,2
341,BZ,1997,m,0-14,2
19933,BZ,1997,f,15-24,3
2790,BZ,1997,m,15-24,2
22382,BZ,1997,f,25-34,2
5239,BZ,1997,m,25-34,6
24831,BZ,1997,f,35-44,2
7688,BZ,1997,m,35-44,3
27280,BZ,1997,f,45-54,0
10137,BZ,1997,m,45-54,10
29729,BZ,1997,f,55-64,4
12586,BZ,1997,m,55-64,3
32178,BZ,1997,f,65+,3
15035,BZ,1997,m,65+,6
17485,BZ,2000,f,0-14,0
342,BZ,2000,m,0-14,2
19934,BZ,2000,f,15-24,2
2791,BZ,2000,m,15-24,5
22383,BZ,2000,f,25-34,1
5240,BZ,2000,m,25-34,7
24832,BZ,2000,f,35-44,2
7689,BZ,2000,m,35-44,2
27281,BZ,2000,f,45-54,4
10138,BZ,2000,m,45-54,6
29730,BZ,2000,f,55-64,1
12587,BZ,2000,m,55-64,3
32179,BZ,2000,f,65+,4
15036,BZ,2000,m,65+,5
17486,BZ,2001,f,0-14,0
343,BZ,2001,m,0-14,0
19935,BZ,2001,f,15-24,0
2792,BZ,2001,m,15-24,0
22384,BZ,2001,f,25-34,3
5241,BZ,2001,m,25-34,5
24833,BZ,2001,f,35-44,4
7690,BZ,2001,m,35-44,9
27282,BZ,2001,f,45-54,1
10139,BZ,2001,m,45-54,7
29731,BZ,2001,f,55-64,2
12588,BZ,2001,m,55-64,9
32180,BZ,2001,f,65+,2
15037,BZ,2001,m,65+,11
17487,BZ,2002,f,0-14,3
344,BZ,2002,m,0-14,4
19936,BZ,2002,f,15-24,5
2793,BZ,2002,m,15-24,7
22385,BZ,2002,f,25-34,6
5242,BZ,2002,m,25-34,5
24834,BZ,2002,f,35-44,3
7691,BZ,2002,m,35-44,7
27283,BZ,2002,f,45-54,4
10140,BZ,2002,m,45-54,11
29732,BZ,2002,f,55-64,4
12589,BZ,2002,m,55-64,4
32181,BZ,2002,f,65+,4
15038,BZ,2002,m,65+,4
17488,BZ,2003,f,0-14,2
345,BZ,2003,m,0-14,1
19937,BZ,2003,f,15-24,6
2794,BZ,2003,m,15-24,4
22386,BZ,2003,f,25-34,3
5243,BZ,2003,m,25-34,8
24835,BZ,2003,f,35-44,3
7692,BZ,2003,m,35-44,10
27284,BZ,2003,f,45-54,2
10141,BZ,2003,m,45-54,3
29733,BZ,2003,f,55-64,5
12590,BZ,2003,m,55-64,2
32182,BZ,2003,f,65+,5
15039,BZ,2003,m,65+,8
17489,BZ,2004,f,0-14,1
346,BZ,2004,m,0-14,0
19938,BZ,2004,f,15-24,0
2795,BZ,2004,m,15-24,4
22387,BZ,2004,f,25-34,1
5244,BZ,2004,m,25-34,6
24836,BZ,2004,f,35-44,1
7693,BZ,2004,m,35-44,8
27285,BZ,2004,f,45-54,2
10142,BZ,2004,m,45-54,6
29734,BZ,2004,f,55-64,0
12591,BZ,2004,m,55-64,3
32183,BZ,2004,f,65+,0
15040,BZ,2004,m,65+,2
17490,BZ,2005,f,0-14,0
347,BZ,2005,m,0-14,0
19939,BZ,2005,f,15-24,4
2796,BZ,2005,m,15-24,8
22388,BZ,2005,f,25-34,4
5245,BZ,2005,m,25-34,8
24837,BZ,2005,f,35-44,4
7694,BZ,2005,m,35-44,6
27286,BZ,2005,f,45-54,3
10143,BZ,2005,m,45-54,8
29735,BZ,2005,f,55-64,2
12592,BZ,2005,m,55-64,5
32184,BZ,2005,f,65+,4
15041,BZ,2005,m,65+,3
17491,BZ,2006,f,0-14,2
348,BZ,2006,m,0-14,3
19940,BZ,2006,f,15-24,6
2797,BZ,2006,m,15-24,4
22389,BZ,2006,f,25-34,5
5246,BZ,2006,m,25-34,4
24838,BZ,2006,f,35-44,3
7695,BZ,2006,m,35-44,7
27287,BZ,2006,f,45-54,5
10144,BZ,2006,m,45-54,5
29736,BZ,2006,f,55-64,6
12593,BZ,2006,m,55-64,1
32185,BZ,2006,f,65+,6
15042,BZ,2006,m,65+,3
17492,BZ,2007,f,0-14,0
349,BZ,2007,m,0-14,1
19941,BZ,2007,f,15-24,8
2798,BZ,2007,m,15-24,6
22390,BZ,2007,f,25-34,2
5247,BZ,2007,m,25-34,8
24839,BZ,2007,f,35-44,5
7696,BZ,2007,m,35-44,8
27288,BZ,2007,f,45-54,2
10145,BZ,2007,m,45-54,7
29737,BZ,2007,f,55-64,2
12594,BZ,2007,m,55-64,6
32186,BZ,2007,f,65+,3
15043,BZ,2007,m,65+,3
17493,BZ,2008,f,0-14,0
350,BZ,2008,m,0-14,1
19942,BZ,2008,f,15-24,5
2799,BZ,2008,m,15-24,8
22391,BZ,2008,f,25-34,0
5248,BZ,2008,m,25-34,12
24840,BZ,2008,f,35-44,6
7697,BZ,2008,m,35-44,15
27289,BZ,2008,f,45-54,4
10146,BZ,2008,m,45-54,9
29738,BZ,2008,f,55-64,3
12595,BZ,2008,m,55-64,5
32187,BZ,2008,f,65+,8
15044,BZ,2008,m,65+,8
17494,CA,1980,f,0-14,18
351,CA,1980,m,0-14,12
19943,CA,1980,f,15-24,62
2800,CA,1980,m,15-24,54
22392,CA,1980,f,25-34,51
5249,CA,1980,m,25-34,75
24841,CA,1980,f,35-44,34
7698,CA,1980,m,35-44,83
27290,CA,1980,f,45-54,31
10147,CA,1980,m,45-54,100
29739,CA,1980,f,55-64,33
12596,CA,1980,m,55-64,108
32188,CA,1980,f,65+,104
15045,CA,1980,m,65+,186
17495,CA,1981,f,0-14,6
352,CA,1981,m,0-14,8
19944,CA,1981,f,15-24,46
2801,CA,1981,m,15-24,49
22393,CA,1981,f,25-34,57
5250,CA,1981,m,25-34,61
24842,CA,1981,f,35-44,26
7699,CA,1981,m,35-44,64
27291,CA,1981,f,45-54,28
10148,CA,1981,m,45-54,87
29740,CA,1981,f,55-64,35
12597,CA,1981,m,55-64,103
32189,CA,1981,f,65+,92
15046,CA,1981,m,65+,141
17496,CA,1982,f,0-14,7
353,CA,1982,m,0-14,6
19945,CA,1982,f,15-24,51
2802,CA,1982,m,15-24,52
22394,CA,1982,f,25-34,57
5251,CA,1982,m,25-34,66
24843,CA,1982,f,35-44,30
7700,CA,1982,m,35-44,69
27292,CA,1982,f,45-54,25
10149,CA,1982,m,45-54,90
29741,CA,1982,f,55-64,38
12598,CA,1982,m,55-64,91
32190,CA,1982,f,65+,80
15047,CA,1982,m,65+,150
17497,CA,1983,f,0-14,11
354,CA,1983,m,0-14,9
19946,CA,1983,f,15-24,50
2803,CA,1983,m,15-24,47
22395,CA,1983,f,25-34,50
5252,CA,1983,m,25-34,63
24844,CA,1983,f,35-44,29
7701,CA,1983,m,35-44,62
27293,CA,1983,f,45-54,24
10150,CA,1983,m,45-54,90
29742,CA,1983,f,55-64,35
12599,CA,1983,m,55-64,92
32191,CA,1983,f,65+,86
15048,CA,1983,m,65+,123
17498,CA,1984,f,0-14,9
355,CA,1984,m,0-14,3
19947,CA,1984,f,15-24,51
2804,CA,1984,m,15-24,44
22396,CA,1984,f,25-34,59
5253,CA,1984,m,25-34,75
24845,CA,1984,f,35-44,28
7702,CA,1984,m,35-44,58
27294,CA,1984,f,45-54,28
10151,CA,1984,m,45-54,68
29743,CA,1984,f,55-64,36
12600,CA,1984,m,55-64,83
32192,CA,1984,f,65+,100
15049,CA,1984,m,65+,169
17499,CA,1985,f,0-14,5
356,CA,1985,m,0-14,11
19948,CA,1985,f,15-24,30
2805,CA,1985,m,15-24,42
22397,CA,1985,f,25-34,56
5254,CA,1985,m,25-34,70
24846,CA,1985,f,35-44,19
7703,CA,1985,m,35-44,59
27295,CA,1985,f,45-54,28
10152,CA,1985,m,45-54,77
29744,CA,1985,f,55-64,48
12601,CA,1985,m,55-64,81
32193,CA,1985,f,65+,97
15050,CA,1985,m,65+,168
17500,CA,1986,f,0-14,10
357,CA,1986,m,0-14,9
19949,CA,1986,f,15-24,33
2806,CA,1986,m,15-24,58
22398,CA,1986,f,25-34,54
5255,CA,1986,m,25-34,73
24847,CA,1986,f,35-44,33
7704,CA,1986,m,35-44,62
27296,CA,1986,f,45-54,20
10153,CA,1986,m,45-54,59
29745,CA,1986,f,55-64,26
12602,CA,1986,m,55-64,73
32194,CA,1986,f,65+,95
15051,CA,1986,m,65+,147
17501,CA,1987,f,0-14,8
358,CA,1987,m,0-14,9
19950,CA,1987,f,15-24,39
2807,CA,1987,m,15-24,40
22399,CA,1987,f,25-34,48
5256,CA,1987,m,25-34,71
24848,CA,1987,f,35-44,29
7705,CA,1987,m,35-44,60
27297,CA,1987,f,45-54,17
10154,CA,1987,m,45-54,49
29746,CA,1987,f,55-64,26
12603,CA,1987,m,55-64,64
32195,CA,1987,f,65+,79
15052,CA,1987,m,65+,129
17502,CA,1988,f,0-14,6
359,CA,1988,m,0-14,4
19951,CA,1988,f,15-24,38
2808,CA,1988,m,15-24,43
22400,CA,1988,f,25-34,56
5257,CA,1988,m,25-34,73
24849,CA,1988,f,35-44,27
7706,CA,1988,m,35-44,62
27298,CA,1988,f,45-54,16
10155,CA,1988,m,45-54,52
29747,CA,1988,f,55-64,26
12604,CA,1988,m,55-64,68
32196,CA,1988,f,65+,80
15053,CA,1988,m,65+,131
17503,CA,1989,f,0-14,6
360,CA,1989,m,0-14,10
19952,CA,1989,f,15-24,37
2809,CA,1989,m,15-24,45
22401,CA,1989,f,25-34,51
5258,CA,1989,m,25-34,56
24850,CA,1989,f,35-44,23
7707,CA,1989,m,35-44,60
27299,CA,1989,f,45-54,24
10156,CA,1989,m,45-54,54
29748,CA,1989,f,55-64,21
12605,CA,1989,m,55-64,62
32197,CA,1989,f,65+,81
15054,CA,1989,m,65+,122
17504,CA,1990,f,0-14,1
361,CA,1990,m,0-14,3
19953,CA,1990,f,15-24,30
2810,CA,1990,m,15-24,35
22402,CA,1990,f,25-34,38
5259,CA,1990,m,25-34,70
24851,CA,1990,f,35-44,26
7708,CA,1990,m,35-44,55
27300,CA,1990,f,45-54,17
10157,CA,1990,m,45-54,40
29749,CA,1990,f,55-64,20
12606,CA,1990,m,55-64,42
32198,CA,1990,f,65+,72
15055,CA,1990,m,65+,100
17505,CA,1991,f,0-14,4
362,CA,1991,m,0-14,7
19954,CA,1991,f,15-24,23
2811,CA,1991,m,15-24,37
22403,CA,1991,f,25-34,37
5260,CA,1991,m,25-34,79
24852,CA,1991,f,35-44,31
7709,CA,1991,m,35-44,53
27301,CA,1991,f,45-54,9
10158,CA,1991,m,45-54,37
29750,CA,1991,f,55-64,20
12607,CA,1991,m,55-64,36
32199,CA,1991,f,65+,60
15056,CA,1991,m,65+,110
17506,CA,1992,f,0-14,2
363,CA,1992,m,0-14,6
19955,CA,1992,f,15-24,27
2812,CA,1992,m,15-24,42
22404,CA,1992,f,25-34,28
5261,CA,1992,m,25-34,47
24853,CA,1992,f,35-44,21
7710,CA,1992,m,35-44,58
27302,CA,1992,f,45-54,11
10159,CA,1992,m,45-54,41
29751,CA,1992,f,55-64,15
12608,CA,1992,m,55-64,51
32200,CA,1992,f,65+,78
15057,CA,1992,m,65+,79
17507,CA,1993,f,0-14,6
364,CA,1993,m,0-14,8
19956,CA,1993,f,15-24,22
2813,CA,1993,m,15-24,33
22405,CA,1993,f,25-34,50
5262,CA,1993,m,25-34,47
24854,CA,1993,f,35-44,22
7711,CA,1993,m,35-44,53
27303,CA,1993,f,45-54,21
10160,CA,1993,m,45-54,43
29752,CA,1993,f,55-64,21
12609,CA,1993,m,55-64,33
32201,CA,1993,f,65+,55
15058,CA,1993,m,65+,74
17508,CA,1994,f,0-14,3
365,CA,1994,m,0-14,2
19957,CA,1994,f,15-24,37
2814,CA,1994,m,15-24,42
22406,CA,1994,f,25-34,37
5263,CA,1994,m,25-34,54
24855,CA,1994,f,35-44,19
7712,CA,1994,m,35-44,42
27304,CA,1994,f,45-54,11
10161,CA,1994,m,45-54,43
29753,CA,1994,f,55-64,13
12610,CA,1994,m,55-64,34
32202,CA,1994,f,65+,59
15059,CA,1994,m,65+,87
17509,CA,1995,f,0-14,7
366,CA,1995,m,0-14,1
19958,CA,1995,f,15-24,33
2815,CA,1995,m,15-24,28
22407,CA,1995,f,25-34,28
5264,CA,1995,m,25-34,31
24856,CA,1995,f,35-44,22
7713,CA,1995,m,35-44,60
27305,CA,1995,f,45-54,12
10162,CA,1995,m,45-54,34
29754,CA,1995,f,55-64,18
12611,CA,1995,m,55-64,41
32203,CA,1995,f,65+,51
15060,CA,1995,m,65+,70
17510,CA,1996,f,0-14,2
367,CA,1996,m,0-14,3
19959,CA,1996,f,15-24,23
2816,CA,1996,m,15-24,28
22408,CA,1996,f,25-34,34
5265,CA,1996,m,25-34,49
24857,CA,1996,f,35-44,28
7714,CA,1996,m,35-44,48
27306,CA,1996,f,45-54,14
10163,CA,1996,m,45-54,31
29755,CA,1996,f,55-64,16
12612,CA,1996,m,55-64,34
32204,CA,1996,f,65+,50
15061,CA,1996,m,65+,70
17511,CA,1997,f,0-14,1
368,CA,1997,m,0-14,0
19960,CA,1997,f,15-24,36
2817,CA,1997,m,15-24,21
22409,CA,1997,f,25-34,44
5266,CA,1997,m,25-34,55
24858,CA,1997,f,35-44,26
7715,CA,1997,m,35-44,44
27307,CA,1997,f,45-54,13
10164,CA,1997,m,45-54,30
29756,CA,1997,f,55-64,16
12613,CA,1997,m,55-64,44
32205,CA,1997,f,65+,53
15062,CA,1997,m,65+,90
17512,CA,1998,f,0-14,1
369,CA,1998,m,0-14,4
19961,CA,1998,f,15-24,26
2818,CA,1998,m,15-24,33
22410,CA,1998,f,25-34,31
5267,CA,1998,m,25-34,43
24859,CA,1998,f,35-44,26
7716,CA,1998,m,35-44,51
27308,CA,1998,f,45-54,14
10165,CA,1998,m,45-54,31
29757,CA,1998,f,55-64,18
12614,CA,1998,m,55-64,26
32206,CA,1998,f,65+,54
15063,CA,1998,m,65+,80
17513,CA,1999,f,0-14,4
370,CA,1999,m,0-14,0
19962,CA,1999,f,15-24,33
2819,CA,1999,m,15-24,23
22411,CA,1999,f,25-34,31
5268,CA,1999,m,25-34,47
24860,CA,1999,f,35-44,28
7717,CA,1999,m,35-44,51
27309,CA,1999,f,45-54,13
10166,CA,1999,m,45-54,36
29758,CA,1999,f,55-64,11
12615,CA,1999,m,55-64,33
32207,CA,1999,f,65+,51
15064,CA,1999,m,65+,94
17514,CA,2000,f,0-14,4
371,CA,2000,m,0-14,5
19963,CA,2000,f,15-24,33
2820,CA,2000,m,15-24,34
22412,CA,2000,f,25-34,40
5269,CA,2000,m,25-34,45
24861,CA,2000,f,35-44,30
7718,CA,2000,m,35-44,46
27310,CA,2000,f,45-54,25
10167,CA,2000,m,45-54,41
29759,CA,2000,f,55-64,12
12616,CA,2000,m,55-64,32
32208,CA,2000,f,65+,66
15065,CA,2000,m,65+,79
17515,CA,2001,f,0-14,5
372,CA,2001,m,0-14,6
19964,CA,2001,f,15-24,23
2821,CA,2001,m,15-24,24
22413,CA,2001,f,25-34,41
5270,CA,2001,m,25-34,49
24862,CA,2001,f,35-44,33
7719,CA,2001,m,35-44,56
27311,CA,2001,f,45-54,16
10168,CA,2001,m,45-54,40
29760,CA,2001,f,55-64,14
12617,CA,2001,m,55-64,22
32209,CA,2001,f,65+,53
15066,CA,2001,m,65+,76
17516,CA,2002,f,0-14,6
373,CA,2002,m,0-14,0
19965,CA,2002,f,15-24,32
2822,CA,2002,m,15-24,25
22414,CA,2002,f,25-34,31
5271,CA,2002,m,25-34,34
24863,CA,2002,f,35-44,26
7720,CA,2002,m,35-44,50
27312,CA,2002,f,45-54,17
10169,CA,2002,m,45-54,34
29761,CA,2002,f,55-64,17
12618,CA,2002,m,55-64,27
32210,CA,2002,f,65+,45
15067,CA,2002,m,65+,64
17517,CA,2003,f,0-14,3
374,CA,2003,m,0-14,1
19966,CA,2003,f,15-24,21
2823,CA,2003,m,15-24,26
22415,CA,2003,f,25-34,28
5272,CA,2003,m,25-34,36
24864,CA,2003,f,35-44,25
7721,CA,2003,m,35-44,37
27313,CA,2003,f,45-54,15
10170,CA,2003,m,45-54,32
29762,CA,2003,f,55-64,9
12619,CA,2003,m,55-64,21
32211,CA,2003,f,65+,36
15068,CA,2003,m,65+,42
17518,CA,2004,f,0-14,0
375,CA,2004,m,0-14,2
19967,CA,2004,f,15-24,34
2824,CA,2004,m,15-24,25
22416,CA,2004,f,25-34,55
5273,CA,2004,m,25-34,34
24865,CA,2004,f,35-44,34
7722,CA,2004,m,35-44,38
27314,CA,2004,f,45-54,19
10171,CA,2004,m,45-54,32
29763,CA,2004,f,55-64,22
12620,CA,2004,m,55-64,31
32212,CA,2004,f,65+,48
15069,CA,2004,m,65+,64
17519,CA,2005,f,0-14,6
376,CA,2005,m,0-14,3
19968,CA,2005,f,15-24,28
2825,CA,2005,m,15-24,37
22417,CA,2005,f,25-34,40
5274,CA,2005,m,25-34,45
24866,CA,2005,f,35-44,27
7723,CA,2005,m,35-44,44
27315,CA,2005,f,45-54,24
10172,CA,2005,m,45-54,40
29764,CA,2005,f,55-64,13
12621,CA,2005,m,55-64,20
32213,CA,2005,f,65+,37
15070,CA,2005,m,65+,68
17520,CA,2006,f,0-14,4
377,CA,2006,m,0-14,2
19969,CA,2006,f,15-24,39
2826,CA,2006,m,15-24,34
22418,CA,2006,f,25-34,30
5275,CA,2006,m,25-34,34
24867,CA,2006,f,35-44,25
7724,CA,2006,m,35-44,33
27316,CA,2006,f,45-54,16
10173,CA,2006,m,45-54,42
29765,CA,2006,f,55-64,6
12622,CA,2006,m,55-64,26
32214,CA,2006,f,65+,52
15071,CA,2006,m,65+,64
17521,CA,2007,f,0-14,2
378,CA,2007,m,0-14,5
19970,CA,2007,f,15-24,32
2827,CA,2007,m,15-24,31
22419,CA,2007,f,25-34,33
5276,CA,2007,m,25-34,41
24868,CA,2007,f,35-44,33
7725,CA,2007,m,35-44,51
27317,CA,2007,f,45-54,11
10174,CA,2007,m,45-54,50
29766,CA,2007,f,55-64,13
12623,CA,2007,m,55-64,35
32215,CA,2007,f,65+,51
15072,CA,2007,m,65+,75
17522,CA,2008,f,0-14,3
379,CA,2008,m,0-14,2
19971,CA,2008,f,15-24,36
2828,CA,2008,m,15-24,39
22420,CA,2008,f,25-34,39
5277,CA,2008,m,25-34,36
24869,CA,2008,f,35-44,39
7726,CA,2008,m,35-44,49
27318,CA,2008,f,45-54,27
10175,CA,2008,m,45-54,53
29767,CA,2008,f,55-64,20
12624,CA,2008,m,55-64,38
32216,CA,2008,f,65+,45
15073,CA,2008,m,65+,62
17523,CD,1995,f,0-14,331
380,CD,1995,m,0-14,373
19972,CD,1995,f,15-24,1223
2829,CD,1995,m,15-24,1572
22421,CD,1995,f,25-34,1532
5278,CD,1995,m,25-34,2382
24870,CD,1995,f,35-44,1232
7727,CD,1995,m,35-44,1890
27319,CD,1995,f,45-54,863
10176,CD,1995,m,45-54,1184
29768,CD,1995,f,55-64,427
12625,CD,1995,m,55-64,634
32217,CD,1995,f,65+,137
15074,CD,1995,m,65+,289
17524,CD,1996,f,0-14,292
381,CD,1996,m,0-14,228
19973,CD,1996,f,15-24,1153
2830,CD,1996,m,15-24,1040
22422,CD,1996,f,25-34,1528
5279,CD,1996,m,25-34,1627
24871,CD,1996,f,35-44,1142
7728,CD,1996,m,35-44,1492
27320,CD,1996,f,45-54,728
10177,CD,1996,m,45-54,998
29769,CD,1996,f,55-64,377
12626,CD,1996,m,55-64,548
32218,CD,1996,f,65+,149
15075,CD,1996,m,65+,285
17525,CD,1997,f,0-14,321
382,CD,1997,m,0-14,259
19974,CD,1997,f,15-24,1376
2831,CD,1997,m,15-24,1401
22423,CD,1997,f,25-34,1874
5280,CD,1997,m,25-34,1996
24872,CD,1997,f,35-44,1271
7729,CD,1997,m,35-44,1599
27321,CD,1997,f,45-54,723
10178,CD,1997,m,45-54,996
29770,CD,1997,f,55-64,386
12627,CD,1997,m,55-64,614
32219,CD,1997,f,65+,150
15076,CD,1997,m,65+,276
17526,CD,1998,f,0-14,651
383,CD,1998,m,0-14,455
19975,CD,1998,f,15-24,4074
2832,CD,1998,m,15-24,3684
22424,CD,1998,f,25-34,4536
5281,CD,1998,m,25-34,5073
